NO;NO.INDUK KARYAWAN;AMOUNT
; A0242 ;250.000
; A0243 ;600.000
; A0245 ;250.000
; A0246 ;250.000
;A0253;600.000
; A0254 ;250.000
; A0380 ;100.000
; A0738 ;100.000
; A0740 ;600.000
; A0778 ;900.000
; A0855 ;250.000
; A0867 ;600.000
; A0879 ;250.000
; A0895 ;600.000
; A0931 ;100.000
; A0934 ;600.000
; A0023 ;600.000
; A0961 ;900.000
; A0966 ;100.000
; A0257 ;900.000
; A0678 ;900.000
; A0679 ;600.000
; A0258 ;600.000
; A0749 ;600.000
;B0496;600.000
;B0497;600.000
;B0498;600.000
;B0499;600.000
;B0502;600.000
;B0503;100.000
;B0504;100.000
;B0505;600.000
;B0506;600.000
;B0507;600.000
;B0508;600.000
;B0065;250.000
;B0079;600.000
;B0638;100.000
;B0668;600.000
;B0745;600.000
;B0754;100.000
;B0755;250.000
;B0675;100.000
;B0378;100.000
;J0191;900.000
;J0192;600.000
;J0194;100.000
;J0393;250.000
;J0197;600.000
;J0198;100.000
;J0199;250.000
;J0201;600.000
;J0202;600.000
;J0203;250.000
;J0204;100.000
;J0206;600.000
;J0208;250.000
;J0209;900.000
;J0210;250.000
;J0005;600.000
;J0007;600.000
;J0015;600.000
;J0017;600.000
;J0019;100.000
;J0032;900.000
;J0066;250.000
;J0216;250.000
;J0046;250.000
;J0018;100.000
;J0253;100.000
;J0219;600.000
;J0660;100.000
;J0219;600.000
;J0100;100.000
;J0298;250.000
;J0112;600.000
;J0106;250.000
;J0353;250.000
;J0101;100.000
;J0231;100.000
;J0825;33.333
;J0827;33.333
;J0828;33.333
;J0826;33.333
;J0822;33.333
;J0821;33.333
;J0743;900.000
;J0207;600.000
;J089;600.000
;J0233;600.000
;J0220;600.000
;J0239;900.000
;J0249;250.000
;J0225;250.000
;J0069;250.000
;J0229;250.000
;J0048;250.000
;J0070;250.000
;J0063;250.000
;J0406;600.000
;J0407;600.000
;J0509;600.000
;J0539;600.000
;J0548;600.000
;J0587;600.000
;J0623;600.000
;J0637;600.000
;J0685;600.000
;J0709;600.000
;J0727;600.000
;J0750;900.000
;J0762;900.000
;J0768;600.000
;J0798;500.000
;J0800;166.667
;J0806;166.667
;J0812;50.000
;J0818;50.000
;J0820;50.000
;J0816;50.000
;J0833;33.333
